AREASTAT;COD_AREAST;COUNTSEZ01;MQ_AREAST;COD_QUART;NOME_QUART;COD_ZONA;NOME_ZONA;TIPOLOGIA
AEROPORTO;4;23;4402575,4660000000;01;BORGO PANIGALE;C;Borgo Panigale;Poli funzionali, aree produttive e infrastrutture
AGUCCHI;39;20;1092352,0940000000;04;RENO;S;Santa Viola;Tessuto consolidato e aree della trasformazione programmata
ARCOVEGGIO;14;41;961087,3560000000;02;NAVILE;B;Bolognina;Tessuto consolidato e aree della trasformazione programmata
BARGELLINO;3;6;696718,8840000000;01;BORGO PANIGALE;C;Borgo Panigale;Poli funzionali, aree produttive e infrastrutture
BATTINDARNO;37;35;936825,9900000000;04;RENO;A;Barca;Tessuto consolidato e aree della trasformazione programmata
BEVERARA;28;34;1820356,4140000000;02;NAVILE;I;Lame;Tessuto consolidato e aree della trasformazione programmata
BITONE;83;53;605515,5860000000;09;SAVENA;N;Mazzini;Tessuto consolidato e aree della trasformazione programmata
BORGO CENTRO;8;46;1497259,0370000000;01;BORGO PANIGALE;C;Borgo Panigale;Tessuto consolidato e aree della trasformazione programmata
CAAB;45;18;3153799,5299999900;05;SAN DONATO;Q;San Donato;Poli funzionali, aree produttive e infrastrutture
CADRIANO-CALAMOSCO;41;26;6044770,1930000000;05;SAN DONATO;Q;San Donato;Collina e ambiti agricoli periurbani
CANALE DI RENO;38;33;1081416,5079999900;04;RENO;A;Barca;Tessuto consolidato e aree della trasformazione programmata
CASERME ROSSE-MANIFATTURA;12;18;1223261,9580000000;02;NAVILE;B;Bolognina;Tessuto consolidato e aree della trasformazione programmata
CASTELDEBOLE;11;19;1070638,1769999900;01;BORGO PANIGALE;C;Borgo Panigale;Tessuto consolidato e aree della trasformazione programmata
CAVEDONE;84;10;349294,6730000000;09;SAVENA;N;Mazzini;Tessuto consolidato e aree della trasformazione programmata
CHIESANUOVA;59;40;762997,2000000000;06;SANTO STEFANO;O;Murri;Tessuto consolidato e aree della trasformazione programmata
CIRENAICA;62;50;916876,1640000000;07;SAN VITALE;T;San Vitale;Tessuto consolidato e aree della trasformazione programmata
