SEZ_ELETTORALE,QUARTIERE,VECCHIA_DENOM_QUART,ZONA,Iscritti,MOVIMENTO 5 STELLE (14812),IL POPOLO DELLA FAMIGLIA (297),SINISTRA RIVOLUZIONARIA (140),PARTITO COMUNISTA (473),CIVICA POPOLARE LORENZIN (369),PARTITO DEMOCRATICO (19149),ITALIA EUROPA INSIEME (779),PIU' EUROPA (3371),UDC (327),FORZA ITALIA (5289),LEGA (8748),FRATELLI D'ITALIA (2031),ITALIA AGLI ITALIANI (205),P.R.I. ALA (81),POTERE AL POPOLO (1441),LIBERI E UGUALI (4892),CASAPOUND (360),SCHEDE BIANCHE (587),SCHEDE NULLE (1026),CONTESTATE NON ASSEGNATE (11),Totale Votanti,Totale Voti Di Cui,Totale Voti Validi,Totale Voti Non Validi,Totale schede nulle,Totale schede bianche,Totale schede contestate,Differenza
17,3,8,6,671,0,0,0,0,4,156,14,45,1,24,48,15,0,0,0,0,0,1,5,0,522,209,307,6,5,1,0,0
18,3,8,6,734,74,3,2,2,4,160,9,66,1,59,69,27,2,0,22,44,7,1,12,0,577,13,551,13,12,1,0,0
19,3,8,6,652,50,0,0,2,0,137,7,53,10,84,61,33,0,0,8,34,2,5,8,0,513,19,481,13,8,5,0,0
20,3,8,6,678,49,4,1,0,10,104,12,49,2,104,94,44,1,4,7,25,11,2,6,0,551,22,521,8,6,2,0,0
21,3,8,6,667,89,4,2,1,1,138,6,49,1,47,62,19,2,1,35,51,2,4,3,0,537,20,510,7,3,4,0,0
22,3,8,6,730,75,4,3,1,4,136,14,49,6,83,79,18,3,1,17,53,3,5,7,0,589,28,549,12,7,5,0,0
23,3,8,6,684,71,4,1,0,10,178,6,52,7,55,75,17,2,0,14,48,3,2,12,0,576,19,543,14,12,2,0,0
24,3,8,6,730,77,1,1,3,4,126,15,64,3,103,81,28,0,3,12,39,3,4,4,0,593,22,563,8,4,4,0,0
25,3,8,6,642,74,4,0,2,0,122,8,34,1,61,74,27,3,0,26,32,1,4,0,0,496,23,469,4,0,4,0,0
26,3,8,6,683,79,2,5,2,3,128,6,39,5,54,78,21,0,1,22,49,2,7,8,0,531,20,496,15,8,7,0,0
27,3,8,6,634,78,1,3,3,4,127,15,39,2,41,47,22,1,1,18,45,0,3,12,0,489,27,447,15,12,3,0,0
28,3,8,6,713,71,2,1,1,1,137,14,31,5,89,66,21,0,2,25,42,1,4,4,0,543,26,509,8,4,4,0,0
29,3,8,6,575,102,1,2,4,7,80,9,40,1,35,45,24,0,0,11,41,3,5,6,0,436,20,405,11,6,5,0,0
30,3,8,6,731,119,4,0,2,0,127,6,47,3,29,67,11,1,3,19,53,3,4,2,0,528,28,494,6,2,4,0,0
31,3,8,6,726,99,3,1,2,4,158,6,52,4,47,54,22,2,0,19,55,3,3,12,0,560,14,531,15,12,3,0,0
32,3,8,6,701,116,4,0,6,8,154,6,39,2,40,59,12,3,0,18,26,4,6,11,0,547,33,497,17,11,6,0,0
33,3,8,6,692,106,1,0,4,4,136,0,42,1,44,58,10,2,1,21,40,3,7,5,0,515,30,473,12,5,7,0,0
34,3,8,6,618,94,0,1,2,4,133,4,28,1,33,68,13,2,0,13,40,1,1,5,0,453,10,437,6,5,1,0,0
35,3,8,6,688,108,2,1,2,3,153,3,33,2,37,65,25,1,1,27,48,1,6,7,0,548,23,512,13,7,6,0,0
36,3,8,6,697,63,2,2,4,3,135,10,48,3,43,61,28,1,0,17,45,5,5,8,0,506,23,470,13,8,5,0,0
37,3,8,6,682,90,3,0,3,0,134,11,43,2,52,71,17,2,0,8,43,3,10,7,0,522,23,482,17,7,10,0,0
38,3,8,6,616,86,2,0,2,2,122,4,21,1,50,67,18,0,0,25,44,4,3,6,0,462,5,448,9,6,3,0,0
39,3,8,6,711,93,1,1,4,2,127,5,56,1,30,63,18,1,0,23,45,2,4,6,0,503,21,472,10,6,4,0,0
40,3,8,6,614,66,1,1,0,5,137,4,43,1,62,90,23,0,4,6,23,4,2,6,0,490,12,470,8,6,2,0,0
41,3,8,6,751,118,0,0,4,3,137,6,42,2,51,75,23,0,1,16,42,5,1,9,0,556,21,525,10,9,1,0,0
42,3,8,6,631,107,0,1,4,1,101,1,36,2,32,63,16,4,2,17,36,6,7,4,0,469,29,429,11,4,7,0,0
43,3,8,6,711,81,2,1,1,6,177,7,51,7,64,81,19,5,2,11,41,0,11,4,0,579,8,556,15,4,11,0,0
44,3,8,6,614,64,2,0,0,9,101,5,42,6,76,88,31,0,3,5,25,3,4,7,0,484,13,460,11,7,4,0,0
63,3,3,14,633,127,2,1,4,8,109,7,28,4,42,69,14,0,0,11,43,4,1,12,0,497,11,473,13,12,1,0,0
64,3,3,14,620,93,0,1,4,1,116,5,26,4,44,62,12,1,0,18,43,3,5,2,0,455,15,433,7,2,5,0,0
65,3,3,14,692,102,7,1,4,2,128,7,47,3,32,49,10,1,0,20,45,2,7,10,0,505,28,460,17,10,7,0,0
66,3,3,14,778,144,3,3,1,3,154,5,42,2,52,69,20,3,0,20,56,2,3,10,0,615,23,579,13,10,3,0,0
67,3,3,14,652,116,0,1,3,1,124,11,32,2,35,40,16,4,0,25,42,2,3,10,0,499,32,454,13,10,3,0,0
68,3,3,14,622,114,0,1,0,3,108,7,30,0,28,50,20,0,0,22,49,4,7,4,0,468,21,436,11,4,7,0,0
69,3,3,14,620,86,0,0,2,3,140,7,22,5,43,58,12,1,0,13,38,4,5,4,0,469,26,434,9,4,5,0,0
70,3,3,14,581,120,4,1,4,0,115,11,19,2,30,46,14,0,0,12,33,2,3,12,0,448,20,413,15,12,3,0,0
71,3,3,14,749,91,2,1,2,1,156,9,33,4,49,73,35,1,0,11,77,2,7,7,0,583,22,547,14,7,7,0,0
72,3,3,14,676,119,1,1,1,0,123,3,31,3,44,61,16,2,1,14,37,3,1,5,0,484,18,460,6,5,1,0,0
73,3,3,14,676,113,1,2,5,3,156,11,27,0,30,67,9,2,0,10,49,2,3,6,0,519,23,487,9,6,3,0,0
74,3,3,14,629,77,1,0,3,2,155,3,25,4,31,57,20,0,1,8,41,1,5,5,0,450,11,429,10,5,5,0,0
75,3,3,14,675,104,2,1,2,7,143,9,28,1,43,54,13,2,0,8,51,5,4,15,0,520,28,473,19,15,4,0,0
76,3,3,14,556,69,3,1,2,5,82,2,16,0,21,66,5,4,1,12,28,1,2,5,0,335,10,318,7,5,2,0,0
77,3,3,14,721,136,6,2,1,1,124,9,44,3,41,60,9,4,0,28,27,3,6,10,0,537,23,498,16,10,6,0,0
78,3,3,14,622,110,2,2,1,0,107,3,17,1,53,66,21,6,0,9,29,0,4,6,0,453,16,427,10,6,4,0,0
79,3,3,14,565,83,1,0,2,8,108,5,28,4,48,63,18,2,1,8,45,4,3,5,0,457,21,428,8,5,3,0,0
80,3,3,14,504,111,0,1,0,2,71,2,16,1,32,81,32,1,0,3,26,10,8,1,0,409,11,389,9,1,8,0,0
81,3,3,14,771,155,1,2,3,1,153,4,29,3,28,57,14,1,0,15,41,3,8,10,0,557,29,510,18,10,8,0,0
