SEZ_ELETTORALE,QUARTIERE,VECCHIA_DENOM_QUART,ZONA,Iscritti,DESTRE UNITE FORCONI (235),IL POPOLO DELLA FAMIGLIA (965),P.R.I. ALA (347),POTERE AL POPOLO (4905),CIVICA POPOLARE LORENZIN (1433),ITALIA EUROPA INSIEME (2371),PIU' EUROPA (10296),PARTITO DEMOCRATICO (53312),SINISTRA RIVOLUZIONARIA (491),PARTITO COMUNISTA (1366),CASAPOUND (896),LIBERI E UGUALI (18117),ITALIA AGLI ITALIANI (611),MOVIMENTO 5 STELLE (41598),FORZA ITALIA (18467),UDC (831),LEGA (26492),FRATELLI D'ITALIA (6601),SCHEDE BIANCHE (1887),SCHEDE NULLE (3352),CONTESTATE NON ASSEGNATE (14),Totale Votanti,Totale Voti Di Cui,Totale Voti Validi,Totale Voti Non Validi,Totale schede nulle,Totale schede bianche,Totale schede contestate,Differenza
1,3,8,10,370,0,0,0,4,1,5,24,69,0,0,0,36,1,38,49,0,47,15,2,8,0,312,13,289,10,8,2,0,0
2,3,8,10,603,1,2,0,11,7,4,31,92,1,3,6,41,1,56,59,2,56,24,5,5,0,440,33,397,10,5,5,0,0
3,3,8,10,591,0,6,1,14,1,5,29,82,2,4,2,33,1,61,71,1,55,26,8,6,0,437,29,394,14,6,8,0,0
4,3,8,10,611,0,4,0,18,2,9,40,101,0,2,2,41,1,79,76,6,43,21,6,6,0,483,26,445,12,6,6,0,0
5,3,8,10,505,1,3,2,19,2,9,20,59,0,0,4,32,1,45,65,4,61,26,3,10,0,388,22,353,13,10,3,0,0
6,3,8,10,614,0,1,0,19,3,8,37,96,4,1,1,60,0,70,58,6,48,21,2,8,0,468,25,433,10,8,2,0,0
7,3,8,10,660,1,1,1,24,0,6,43,142,1,3,0,54,0,83,48,2,53,17,2,12,0,527,34,479,14,12,2,0,0
8,3,8,10,533,0,2,0,7,1,5,36,92,0,2,4,43,1,78,30,0,42,14,3,12,0,396,24,357,15,12,3,0,0
9,3,8,10,567,1,1,0,26,3,7,25,85,2,6,6,36,2,71,53,0,55,17,2,5,0,434,31,396,7,5,2,0,0
10,3,8,10,598,0,2,2,36,0,5,49,78,0,3,3,56,2,48,49,0,41,12,7,9,0,439,37,386,16,9,7,0,0
11,3,8,10,467,1,1,2,14,3,3,26,79,1,1,1,49,1,40,38,0,44,15,7,5,0,350,19,319,12,5,7,0,0
12,3,8,10,530,1,3,1,27,0,6,27,72,4,1,1,72,1,73,23,0,22,13,3,11,0,379,18,347,14,11,3,0,0
13,3,8,10,359,0,1,2,17,3,4,18,54,0,3,1,31,0,33,22,1,23,9,0,8,0,245,15,222,8,8,0,0,0
14,3,8,10,573,0,0,0,37,2,4,33,88,4,7,0,60,0,81,45,3,30,10,3,5,0,422,10,404,8,5,3,0,0
