Ticketid,Category,Subcategory_1,Subcategory_2,Subcategory_3
87056,Segnalazioni,Viabilità e traffico,Circolazione,Violazione codice della strada
89348,Segnalazioni,Arredo urbano,Panchine,Danneggiate/imbrattate
89117,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
89118,Segnalazioni,Verde pubblico,Aree verdi,
89121,Segnalazioni,Verde pubblico,Aree verdi,
85522,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
85523,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
85524,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
85528,Segnalazioni,Degrado sociale,Segnalazioni,Nomadi
85530,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
85531,Segnalazioni,Degrado urbano,Piazze/strade,Imbrattate
85554,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
85556,Segnalazioni,Degrado sociale,Segnalazioni,Bande giovanili
85557,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Progettazione e modifica
85559,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,
85561,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
85566,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Discarica abusiva
85571,Segnalazioni,Degrado ambientale,Dissesto idro-geologico,
85577,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
85579,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
85598,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
85603,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
85618,Segnalazioni,Viabilità e traffico,Zone con restrizione alla circolazione,Aree pedonali/fittonate
85640,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Danneggiati/manomessi
85653,Segnalazioni,Degrado urbano,Parcheggi pubblici,
85659,Segnalazioni,Degrado urbano,Parcheggi pubblici,
85661,Segnalazioni,Viabilità e traffico,Passi carrai,Occupati
85687,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
85691,Segnalazioni,,,
85695,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
85701,Segnalazioni,Verde pubblico,Aree verdi,Danneggiate
