X,Y,NUMPROG,CODVIA,CIVICO,SUBCIV,PRINCIPA,CODARCO,CODEDIF,PARTKEY,NCIVSUB,CIVKEY,X_T,Y_T,DATA_ISTI,DATA_CESS,CAP,SERV_RSU,DENOMINAZI,SEZ81,SEZ91,SEZ01,QUARTIERE,ZONA,ISOLATO,MESSI,CODLOTTO,SEZ2011,LOC2011,LOC11_NOME,ID_ENTE,SEZIONE,PLESSO,INDIRIZZO,ACCESSO
686792.914816058,4930420.57961387,61915,25250,1,A,1,3120,16631,A944_ 162  285,1/A,25250000100A,686876.5700000001,930619.2400000000,19941117,,40126,,MURA DI PORTA GALLIERA,91,1468,1460,Santo Stefano,H,H069,Z1C,0,1460,10002,BOLOGNA,A944,98-99-100-101,SCUOLA ERCOLANI,"MURA DI PORTA GALLIERA, 1/A",no
687104.494598103,4935515.25269725,10695,2300,4,,1,3933,214,A944_  22   18,4,023000004000,687188.1000000000,935714.0400000000,19350916,,40128,,VIA S.ANNA,262,365,377,Navile,E,E008,Z6B,0,377,10002,BOLOGNA,A944,305-306-310-312-314,SCUOLA MARSILI,"VIA SANT'ANNA, 4",si
687975.620150269,4933397.73467829,10709,20800,6,,1,5279,3434,A944_  80 2078,6,208000006000,688059.2640000000,933596.4889999999,19670704,,40128,,VIA DELLA DOZZA,581,452,485,Navile,E,E091B,Z7B,0,485,10002,BOLOGNA,A944,299-300-304,SCUOLA ELEMENTARE DOZZA,"VIA DELLA DOZZA, 6",si
680774.278274758,4932219.82565345,76,10600,16,,1,2421,6953,A944_  33 1063,16,106000016000,680857.8100000001,932418.4100000000,19561002,,40132,,VIA MAURIZIO BUFALINI,199,48,98,Borgo Panigale - Reno,C,C046,Z15B,0,98,10002,BOLOGNA,A944,245-248-249-250,SCUOLA LIPPARINI,"VIA MAURIZIO BUFALINI, 16",no
681000.879443006,4930648.0941764,1739,24900,57,,1,9560,15023,A944_  96  193,57,249000057000,681084.4330000000,930846.6440000000,19000101,,40132,,VIA GALEAZZA,559,162,168,Borgo Panigale - Reno,C,C155,Z15C,0,168,10002,BOLOGNA,A944,233-234-235-236-237,SCUOLA DUE AGOSTO 1980,"VIA GALEAZZA, 57",si
682222.075415906,4932208.12745755,2137,52850,2,,1,2810,7114,A944_  36   56,2,528500002000,682305.6320000000,932406.7400000000,19610928,,40132,,VIA SANTORRE DI SANTAROSA,193,24,58,Borgo Panigale - Reno,C,C022A,Z15A,0,58,10002,BOLOGNA,A944,240-244-255,SCUOLA A. MORO,"VIA SANTORRE DI SANTAROSA, 2",si
685201.766750944,4932328.21691217,2737,8100,158,,1,3529,6425,A944_  48   57,158,081000158000,685285.3730000000,932526.8909999999,19940714,,40131,,VIA DELLA BEVERARA,187,503,569,Navile,I,I037,Z5C,0,569,10002,BOLOGNA,A944,315-316-317-319-320-321,SCUOLA V. BOTTEGO,"VIA DELLA BEVERARA, 158",si
688156.394404672,4929671.56048755,3232,53850,1,,1,1892,22163,A944_ 193   68,1,538500001000,688240.0800000000,929870.2300000000,19931018,,40138,,VIA SCIPIONE DAL FERRO,291,1537,1593,San Donato - San Vitale,T,T035,Z9B,0,1593,10002,BOLOGNA,A944,111-115,SCUOLA MATERNA,"VIA SCIPIONE DAL FERRO, 1",si
687622.281698358,4935194.27207582,2962,61230,21,,1,3905,681,A944_  23  741,21,612300021000,687705.9000000000,935393.0620000000,19740831,,40128,,VIA GIULIO VERNE,579,444,404,Navile,E,E083,Z6C,0,404,10002,BOLOGNA,A944,302-303-307-308-309-311-313,SCUOLA VILLA TORCHI,"VIA GIULIO VERNE, 21",si
689138.744443785,4931007.14230505,3023,60280,2,,1,3683,13061,A944_ 127  883,2,602800002000,689222.4340000000,931205.8630000000,19771227,,40127,,VIA VALPARAISO,543,1034,1081,San Donato - San Vitale,Q,Q133,Z8C,0,1081,10002,BOLOGNA,A944,353-355-356-357,SCUOLA DON G. MINZONI,"VIA VALPARAISO, 2",si
