Nome_zona,Codice_zona,Nome_quartiere
Irnerio,8,Santo Stefano
Galvani,7,Santo Stefano
Marconi,11,Porto - Saragozza
Malpighi,10,Porto - Saragozza
Corticella,5,Navile
Bolognina,2,Navile
Lame,9,Navile
Barca,1,Borgo Panigale - Reno
Santa Viola,17,Borgo Panigale - Reno
Saffi,14,Porto - Saragozza
Costa Saragozza,6,Porto - Saragozza
Colli,4,Santo Stefano
San Vitale,18,San Donato - San Vitale
Murri,13,Santo Stefano
San Donato,15,San Donato - San Vitale
Mazzini,12,Savena
San Ruffillo,16,Savena
Borgo Panigale,3,Borgo Panigale - Reno
