Zona,Movimento per le Destre unite - Movimento per i Forconi,Percentuale voti Movimento per le Destre unite - Movimento per i Forconi,Il Popolo della Famiglia,Percentuale voti Il Popolo della Famiglia,Partito Repubblicato Italiano - Alleanza Liberalpopolare - Autonomie,Percentuale voti Partito Repubblicato Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Percentuale voti Potere al Popolo,Civica Popolare,Percentuale voti Civica Popolare,Italia Europa Insieme,Percentuale voti Italia Europa Insieme,Piu Europa,Percentuale voti Piu Europa,Partito Democratico,Percentuale voti Partito Democratico,Per una Sinistra Rivoluzionaria,Percentuale voti Per una Sinistra Rivoluzionaria,Partito Comunista,Percentuale voti Partito Comunista,CasaPound,Percentuale voti CasaPound,Liberi e Uguali,Percentuale voti Liberi e Uguali,Italia agli Italiani,Percentuale voti Italia agli Italiani,Movimento 5 Stelle,Percentuale voti Movimento 5 Stelle,Forza Italia,Percentuale voti Forza Italia,Unione di Centro,Percentuale voti Unione di Centro,Lega Nord,Percentuale voti Lega Nord,Fratelli d Italia,Percentuale voti Fratelli d Italia,Totale Voti Validi
1,14,0.13,66,0.63,12,0.11,184,1.74,65,0.62,120,1.14,356,3.37,3471,32.9,28,0.27,93,0.88,45,0.43,939,8.9,40,0.38,2499,23.68,817,7.74,34,0.32,1470,13.93,298,2.82,10551
2,21,0.14,71,0.48,20,0.14,636,4.34,74,0.5,172,1.17,658,4.49,3895,26.56,44,0.3,127,0.87,73,0.5,1529,10.43,53,0.36,3622,24.7,1142,7.79,38,0.26,2098,14.31,391,2.67,14664
3,23,0.18,62,0.48,19,0.15,160,1.24,67,0.52,113,0.87,407,3.14,4219,32.59,39,0.3,127,0.98,56,0.43,1002,7.74,39,0.3,3325,25.68,976,7.54,50,0.39,1908,14.74,355,2.74,12947
4,3,0.08,18,0.49,20,0.55,67,1.83,55,1.5,61,1.66,337,9.19,848,23.11,3,0.08,5,0.14,13,0.35,252,6.87,4,0.11,442,12.05,702,19.13,29,0.79,569,15.51,241,6.57,3669
5,9,0.1,33,0.37,9,0.1,144,1.62,43,0.48,87,0.98,285,3.2,3015,33.82,21,0.24,82,0.92,25,0.28,844,9.47,27,0.3,2226,24.97,619,6.94,40,0.45,1176,13.19,230,2.58,8915
6,16,0.13,61,0.48,31,0.24,434,3.42,79,0.62,159,1.25,995,7.85,3262,25.73,30,0.24,67,0.53,63,0.5,1287,10.15,42,0.33,2274,17.94,1453,11.46,76,0.6,1827,14.41,521,4.11,12677
7,10,0.14,39,0.55,13,0.18,202,2.86,45,0.64,135,1.91,758,10.73,1617,22.89,9,0.13,23,0.33,49,0.69,687,9.73,20,0.28,981,13.89,1115,15.79,55,0.78,973,13.78,332,4.7,7063
8,3,0.04,24,0.36,12,0.18,318,4.72,58,0.86,110,1.63,618,9.18,1535,22.79,24,0.36,28,0.42,32,0.48,889,13.2,21,0.31,1162,17.26,780,11.58,34,0.5,815,12.1,271,4.02,6734
9,17,0.24,25,0.35,10,0.14,133,1.88,54,0.77,68,0.96,252,3.57,2091,29.63,16,0.23,63,0.89,33,0.47,614,8.7,27,0.38,1881,26.65,539,7.64,19,0.27,1033,14.64,182,2.58,7057
10,7,0.12,35,0.58,14,0.23,315,5.19,30,0.49,88,1.45,504,8.31,1408,23.2,21,0.35,41,0.68,36,0.59,733,12.08,16,0.26,1012,16.68,794,13.09,26,0.43,717,11.82,271,4.47,6068
11,9,0.12,31,0.4,18,0.23,262,3.38,60,0.77,106,1.37,594,7.67,1848,23.85,17,0.22,31,0.4,48,0.62,807,10.41,25,0.32,1371,17.69,1052,13.58,33,0.43,1057,13.64,380,4.9,7749
12,25,0.13,113,0.58,40,0.21,346,1.78,140,0.72,237,1.22,773,3.97,6261,32.18,48,0.25,176,0.9,74,0.38,1769,9.09,64,0.33,4467,22.96,1604,8.24,66,0.34,2634,13.54,621,3.19,19458
13,11,0.08,95,0.66,35,0.24,292,2.01,135,0.93,234,1.61,1075,7.42,3884,26.8,33,0.23,71,0.49,62,0.43,1350,9.31,37,0.26,2534,17.48,1800,12.42,78,0.54,2092,14.43,675,4.66,14493
14,9,0.1,39,0.44,8,0.09,270,3.01,48,0.54,117,1.31,494,5.51,2345,26.16,23,0.26,44,0.49,59,0.66,961,10.72,33,0.37,2158,24.08,783,8.74,37,0.41,1227,13.69,308,3.44,8963
15,28,0.2,87,0.61,23,0.16,363,2.53,246,1.72,141,0.98,473,3.3,4099,28.62,43,0.3,138,0.96,78,0.54,1337,9.33,56,0.39,3552,24.8,1156,8.07,60,0.42,2079,14.52,364,2.54,14323
16,12,0.11,60,0.55,20,0.18,191,1.76,91,0.84,133,1.22,573,5.28,3045,28.04,23,0.21,71,0.65,46,0.42,946,8.71,34,0.31,2462,22.67,1102,10.15,41,0.38,1604,14.77,405,3.73,10859
17,7,0.11,28,0.44,12,0.19,130,2.04,26,0.41,68,1.07,252,3.95,1818,28.52,14,0.22,63,0.99,35,0.55,583,9.15,22,0.35,1713,26.87,499,7.83,19,0.3,901,14.13,185,2.9,6375
18,11,0.07,78,0.47,31,0.18,458,2.73,117,0.7,222,1.32,892,5.32,4651,27.74,55,0.33,116,0.69,69,0.41,1588,9.47,51,0.3,3917,23.36,1534,9.15,96,0.57,2312,13.79,571,3.41,16769
